Title,Author,Year,Download Link,Language
"Lingua Indisciplinata : A Study of Transgressive Speech in the ""Romance of the Rose"" and the ""Divine Comedy"" [PhD diss]",Gabriella Ildiko Baika,2007,https://download.library.lol/main/1681000/1ed81670e163d6faf2df6fbacf565c62/Gabriella%20Ildiko%20Baika%20-%20Lingua%20Indisciplinata%20_%20A%20Study%20of%20Transgressive%20Speech%20in%20the%20_Romance%20of%20the%20Rose_%20and%20the%20_Divine%20Comedy_%20%5BPhD%20diss%5D-University%20of%20Pittsburgh%20%282007%29.pdf,English
"Translation, Rewriting and the Manipulation of Literary Fame",Andre Lefevre,1992,https://download.library.lol/main/1516000/b0350d671176200be1699728701316a6/Andre%20Lefevre%20-%20Translation%2C%20Rewriting%20and%20the%20Manipulation%20of%20Literary%20Fame-Routledge%20%281992%29.pdf,English
The Court Reconvenes: Courtly Literature Across the Disciplines,"Barbara K. Altmann, Carleton W. Carroll (eds.)",2003,https://download.library.lol/main/1521000/12a825dca0aee13c334e3e511c0e9985/Barbara%20K.%20Altmann%2C%20Carleton%20W.%20Carroll%20%28eds.%29%20-%20The%20Court%20Reconvenes_%20Courtly%20Literature%20Across%20the%20Disciplines-Boydell%20%26%20Brewer%20%282003%29.pdf,English
Romance Monographs 36The Penitence of Adam: A Study of the Andrius MS. (Bibliothèque Nationale Fr. 95 Folios 380r-394v),"Quinn, Esther Casier",1980,https://download.library.lol/main/1531000/0b42fa7305ecac817344d5d7a39d7ae9/%28Romance%20Monographs%2036%29%20Quinn%2C%20Esther%20Casier%20-%20The%20Penitence%20of%20Adam_%20A%20Study%20of%20the%20Andrius%20MS.%20%28Biblioth%C3%A8que%20Nationale%20Fr.%2095%20Folios%20380r-394v%29-Romance%20Monographs%2C%20Inc.%20%281980%29.pdf,English
China and New Left Visions: Political and Cultural Interventions 978-0739165164,"Ban Wang, Jie Lu",2012,https://download.library.lol/main/1535000/ce8b14276ede7fb5dcd9a2f2d9ba81ff/Ban%20Wang%2C%20Jie%20Lu%20-%20China%20and%20New%20Left%20Visions_%20Political%20and%20Cultural%20Interventions-Lexington%20Books%20%282012%29.pdf,English
"Libanius: A Critical Introduction 1107013771, 9781107013773",Dr Lieve Van Hoof,2014,https://download.library.lol/main/1535000/3f9fc82aa6a4cb127dab25a2ee581b50/Dr%20Lieve%20Van%20Hoof%20-%20Libanius_%20A%20Critical%20Introduction-Cambridge%20University%20Press%20%282014%29.epub,English
"On Longing: Narratives of the Miniature, the Gigantic, the Souvenir, the Collection [10 ed.] 0822313669, 9780822313663",Susan Stewart,1992,https://download.library.lol/main/1536000/0c08f9c6383b7d5e6b65d053c22b5c4e/Susan%20Stewart%20-%20On%20Longing_%20Narratives%20of%20the%20Miniature%2C%20the%20Gigantic%2C%20the%20Souvenir%2C%20the%20Collection-Duke%20University%20Press%20Books%20%281992%29.pdf,English
"City Squares: Eighteen Writers on the Spirit and Significance of Squares Around the World [1st ed.] 9780062380210,  978-0-06-238020-3",Catie Marron (ed),2016,https://download.library.lol/main/1537000/63c2aba34bceb764f6e99956f031aadb/Catie%20Marron%20%28ed%29%20-%20City%20Squares_%20Eighteen%20Writers%20on%20the%20Spirit%20and%20Significance%20of%20Squares%20Around%20the%20World-HarperCollins%20%282016%29.epub,English
"Where Currents Meet : Frontiers in Post-Soviet Fiction of Kharkiv, Ukraine 978-963-386-119-6",Tanya Zaharchenko,2016,https://download.library.lol/main/1538000/fa373f0d7b96f6cca558babe4222d8cb/Tanya%20Zaharchenko%20-%20Where%20Currents%20Meet%20_%20Frontiers%20in%20Post-Soviet%20Fiction%20of%20Kharkiv%2C%20Ukraine-Central%20European%20University%20Press%20%282016%29.pdf,English
The Odyssey Translated by Barry B. Powell [1 ed.],Homer,2014,https://download.library.lol/main/1538000/d247a0f17b1bad7b14d8aaec008a4041/Homer%20-%20The%20Odyssey%20Translated%20by%20Barry%20B.%20Powell-Oxford%20University%20Press%20%282014%29.epub,English
